Id,Label,timeset,country,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
HONDA MOTOR CO LTD,HONDA MOTOR CO LTD,,JP,13,0.225238,0.263217,0.050396,990
COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES,COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES,,FR,13,0.190255,0.213424,0.019715,4
SUMITOMO CHEMICAL CO,SUMITOMO CHEMICAL CO,,JP,14,0.180538,0.19625,0.002125,1160
IND TECH RES INST,IND TECH RES INST,,TW,15,0.15218,0.16509,0.010938,1138
CORNING INC,CORNING INC,,US,15,0.164135,0.174363,0.002177,643
CELANESE VENTURES GMBH,CELANESE VENTURES GMBH,,DE,14,0.178419,0.190762,0.000754,1160
PANASONIC CORP,PANASONIC CORP,,JP,14,0.20593,0.239668,0.021428,1183
GRAFTECH INT HOLDINGS INC,GRAFTECH INT HOLDINGS INC,,US,3,0.565657,0.669643,0,978
UNIV WUHAN TECH,UNIV WUHAN TECH,,CN,16,0.126814,0.131852,0.001418,2522
UNIV HUAZHONG SCIENCE TECH,UNIV HUAZHONG SCIENCE TECH,,CN,14,0.151285,0.157837,0.00017,987
UNIV SHANDONG,UNIV SHANDONG,,CN,2,0.964286,0.981481,0,1879
TOYOTA MOTOR CO LTD,TOYOTA MOTOR CO LTD,,JP,12,0.238577,0.29257,0.11046,0
CABOT CORP,CABOT CORP,,US,15,0.158331,0.16755,0.000659,53
YATAI FUEL CELL SCI & TECH CO,YATAI FUEL CELL SCI & TECH CO,,CN,17,0.11208,0.115419,0,1086
SHANGHAI SHANSHAN TECHNOLOGY C,SHANGHAI SHANSHAN TECHNOLOGY C,,CN,1,1,1,0,1868
KOREA INSITUTE OF ENERGY RES,KOREA INSITUTE OF ENERGY RES,,KR,14,0.177671,0.197206,0.006758,1018
CASIO COMPUTER CO LTD,CASIO COMPUTER CO LTD,,JP,15,0.159424,0.171314,0.00087,1127
NISSAN MOTOR,NISSAN MOTOR,,JP,13,0.213152,0.245221,0.02827,1059
NOK CORP,NOK CORP,,JP,13,0.196384,0.215977,0.001644,22
JOHNSON MATTHEY PLC,JOHNSON MATTHEY PLC,,GB,13,0.198099,0.216922,0.003953,1029
AKZO NOBEL NV,AKZO NOBEL NV,,NL,15,0.138561,0.145745,0.000604,22
TOKYO SHIBAURA ELECTRIC CO,TOKYO SHIBAURA ELECTRIC CO,,JP,14,0.176301,0.19284,0.000702,1914
